"","No","date","jobtitle","company","city","state","job_summary"
"1","1","Fri, 03 Mar 2017 04:16:07 GMT","DATA INTEGRATION AND REPORTING ANALYST","University of Washington Medical Center","Seattle","WA","The University of Washington (UW) is proud to be one of the nationâs premier educational and research institutions. Our people are the most important asset in our pursuit of achieving excellence in education, research, and community service. Our staff not only enjoys outstanding benefits and professional growth opportunities, but also an environment noted for diversity, community involvement, intellectual excitement, artistic pursuits, and natural beauty.

The Department of Medical Education and Biomedical Informatics provides training, research, and service in education and informatics across the breadth of health sciences and health care. Faculty interests and activities include: physician performance assessment, evidence based medicine, physician/patient communication skills, systems for clinical decision support, case based instruction, knowledge representation, retrieval and analysis, health professions diversity, public health informatics, health workforce projections, teaching and program evaluation and competencies for primary care.

The Department of Biomedical Informatics and Medical Education has an outstanding opportunity for a DATA INTEGRATION AND REPORTING ANALYST (Research Consultant) with its Medical Education and Evaluation division (MEE). This position will assist in the development and maintenance of systems to support an electronic student performance portfolio, proactive academic advising system, and learning environment monitoring system that will be the basis for reporting educational analytics to students, faculty, and administrators in the School of Medicine.

The Medical Education and Evaluation division, in conjunction with School of Medicine Academic and Learning Technologies (ALT), supports the operation of information systems for management of medical student academic progress information and related services including performance measurement, reporting, standards compliance, and data stewardship. They work with Dean of Medicine IT (DoM IT) in the development of data systems design, oversight, and development services.

The successful candidate will work with the MEE, ALT, and DoM IT to analyze, develop, deploy, and support conceptual, logical, and physical data models. The Data Integration and Reporting Analyst will use business and industry knowledge to translate the performance initiatives, both tactical and strategic, into business solutions as part of a team. The Data Integration and Reporting Analyst must be an exceptional communicator, both listener and presenter, and exercise his or her organizational relationship skills to deliver success.

The University of Washington is an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to, among other things, race, religion, color, national origin, sex, age, status as protected veterans, or status as qualified individuals with disabilities. At the University of Washington, diversity is integral to excellence. We value and honor diverse experiences and perspectives, strive to create welcoming and respectful learning environments, and promote access, opportunity and justice for all.
Responsibilities:
Develop plans for collection, data cleansing, and normalization of performance data to support management and reporting.
Develop conceptual, logical, and physical data models, and comprehensive documentation supporting these models.
Coordinate data models, dictionaries and other database documentation across applications.
Determine metrics/measures and/or ensure their application to support reporting and viewing needs of users.
Develop database reporting views, reports and visualizations to meet the needs of users.
Communicate, educate, and support development, architecture, and analysis staff for their understanding and use of database designs.
Represent group in efforts to share or integrate data designs with related SOM and University data systems.
Develop policies and procedures for support of new and ongoing systems to insure integrity of data.
Evaluate and recommend technology, tools, hardware and software solutions to accomplish the schoolâs data integration and reporting goals.

REQUIREMENTS:
Ability to effectively communicate with both technical and non-technical associates
Understanding of the application and database development process including planning, analysis, design, coding, testing, and problem resolution
Ability to troubleshoot data issues related to deployment of relevant business solutions
Three years experiences in the field or related area
Bachelorâs degree in information or data management, information management, computer sciences, or education
Coursework in statistics covering concepts of validity, reliability, and basic inferential statistics
Skills in data modeling, database / warehouse development and management
Experienced SQL development skills
Experience with SSIS or related tools for ETL and data processing / management
Experience in the design of data visualizations using tools such as Power BI or Tableau
Work and thrive in a team environment, dealing with complex needs and ideas

DESIRED:
Experience in health sciences, higher education, or professional education settings strongly preferred
Advanced degree in information or data management, computer sciences or educational psychology

Application Process:

The application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Work Authorization, Criminal Conviction History, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select âApply to this positionâ. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your âMy Jobsâ page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready. Please note that your application will not be reviewed, and you will not be considered for this position until all required assessments have been completed.

CONDITION OF EMPLOYMENT:
Appointment of the successful candidate to this position may be made contingent upon a satisfactory outcome of a criminal conviction history check .

The University of Washington is a leader in environmental stewardship & sustainability , and committed to becoming climate neutral.

The University of Washington is an equal opportunity, affirmative action employer.
To request disability accommodation in the application process, contact the Disability Services Office at 206-543-6450 / 206-543-6452 (tty) or dso@uw.edu ."
"2","2","Fri, 03 Mar 2017 00:03:39 GMT","DATA INTEGRATION AND REPORTING ANALYST","University of Washington","Seattle","WA","The University of Washington (UW) is proud to be one of the nationâs premier educational and research institutions. Our people are the most important asset in our pursuit of achieving excellence in education, research, and community service. Our staff not only enjoys outstanding benefits and professional growth opportunities, but also an environment noted for diversity, community involvement, intellectual excitement, artistic pursuits, and natural beauty.

The Department of Medical Education and Biomedical Informatics provides training, research, and service in education and informatics across the breadth of health sciences and health care. Faculty interests and activities include: physician performance assessment, evidence based medicine, physician/patient communication skills, systems for clinical decision support, case based instruction, knowledge representation, retrieval and analysis, health professions diversity, public health informatics, health workforce projections, teaching and program evaluation and competencies for primary care.

The Department of Biomedical Informatics and Medical Education has an outstanding opportunity for a DATA INTEGRATION AND REPORTING ANALYST (Research Consultant) with its Medical Education and Evaluation division (MEE). This position will assist in the development and maintenance of systems to support an electronic student performance portfolio, proactive academic advising system, and learning environment monitoring system that will be the basis for reporting educational analytics to students, faculty, and administrators in the School of Medicine.

The Medical Education and Evaluation division, in conjunction with School of Medicine Academic and Learning Technologies (ALT), supports the operation of information systems for management of medical student academic progress information and related services including performance measurement, reporting, standards compliance, and data stewardship. They work with Dean of Medicine IT (DoM IT) in the development of data systems design, oversight, and development services.

The successful candidate will work with the MEE, ALT, and DoM IT to analyze, develop, deploy, and support conceptual, logical, and physical data models. The Data Integration and Reporting Analyst will use business and industry knowledge to translate the performance initiatives, both tactical and strategic, into business solutions as part of a team. The Data Integration and Reporting Analyst must be an exceptional communicator, both listener and presenter, and exercise his or her organizational relationship skills to deliver success.

The University of Washington is an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to, among other things, race, religion, color, national origin, sex, age, status as protected veterans, or status as qualified individuals with disabilities. At the University of Washington, diversity is integral to excellence. We value and honor diverse experiences and perspectives, strive to create welcoming and respectful learning environments, and promote access, opportunity and justice for all.
Responsibilities:
Develop plans for collection, data cleansing, and normalization of performance data to support management and reporting.
Develop conceptual, logical, and physical data models, and comprehensive documentation supporting these models.
Coordinate data models, dictionaries and other database documentation across applications.
Determine metrics/measures and/or ensure their application to support reporting and viewing needs of users.
Develop database reporting views, reports and visualizations to meet the needs of users.
Communicate, educate, and support development, architecture, and analysis staff for their understanding and use of database designs.
Represent group in efforts to share or integrate data designs with related SOM and University data systems.
Develop policies and procedures for support of new and ongoing systems to insure integrity of data.
Evaluate and recommend technology, tools, hardware and software solutions to accomplish the schoolâs data integration and reporting goals.

REQUIREMENTS:
Ability to effectively communicate with both technical and non-technical associates
Understanding of the application and database development process including planning, analysis, design, coding, testing, and problem resolution
Ability to troubleshoot data issues related to deployment of relevant business solutions
Three years experiences in the field or related area
Bachelorâs degree in information or data management, information management, computer sciences, or education
Coursework in statistics covering concepts of validity, reliability, and basic inferential statistics
Skills in data modeling, database / warehouse development and management
Experienced SQL development skills
Experience with SSIS or related tools for ETL and data processing / management
Experience in the design of data visualizations using tools such as Power BI or Tableau
Work and thrive in a team environment, dealing with complex needs and ideas

DESIRED:
Experience in health sciences, higher education, or professional education settings strongly preferred
Advanced degree in information or data management, computer sciences or educational psychology

Application Process:

The application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Work Authorization, Criminal Conviction History, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select âApply to this positionâ. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your âMy Jobsâ page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready. Please note that your application will not be reviewed, and you will not be considered for this position until all required assessments have been completed.

CONDITION OF EMPLOYMENT:
Appointment of the successful candidate to this position may be made contingent upon a satisfactory outcome of a criminal conviction history check .

The University of Washington is a leader in environmental stewardship & sustainability , and committed to becoming climate neutral.

The University of Washington is an equal opportunity, affirmative action employer.
To request disability accommodation in the application process, contact the Disability Services Office at 206-543-6450 / 206-543-6452 (tty) or dso@uw.edu ."
"3","3","Sat, 28 Jan 2017 11:22:06 GMT","data scientist, Business Strategy - Seattle, WA","Starbucks","Seattle","WA","Job Summary and Mission

As a data scientist on the
Starbucks CRM analytics team, you will be a founding member of a fledgling data
science practice at one of the most recognized and celebrated brands in the
world.

You will be part of a team that
incubates, develops, and deploys data products, leveraging cutting-edge
technologies that will power revenue-generating business applications and
processes at Starbucks.

You will provide mentorship and
leadership to cross-functional team of data scientists, statisticians, and
business analysts across the loyalty organization and provide technical
oversight and guidance for 3 rd party vendors who weâve employed to
help push forward our business objectives.

You are passionate about building
and deploying analytics that unlock true, measureable incremental revenue for
Starbucks â simply producing decks and reports is not enough for you!

Models and acts in accordance with Starbucks guiding principles.
Summary of Key Responsibilities
Responsibilities and essential job functions include but are not limited to the following:
Apply data analysis, data mining and data engineering to accurately develop, automate and operationalize successful experiments
Extracts data from various databases; performs exploratory data analysis, cleanses, massages, and aggregates data
Employs scaling & automation to data preparation techniques
Determines analytics approach to solve business problems; incorporates machine learning algorithms where appropriate
Connects insights to business decision making options and next steps testing or research opportunities
Understands business initiatives and serves as primary analytic resource in discussions with business partners to define business questions
Drives creation of final insights package and recommendations; leads presentation
Directs analytic component of implementation of insights into business processes and ensures appropriate testing takes place
Develops project proposals, gains stakeholder buy-in, and ensures timelines are met
Promotes and advocates value of advanced analytics to solve business problems within department
Mentors data analysts in descriptive and predictive analytics Summary of Experience
Years within data analysis field or discipline (3 years minimum)
Basic Qualifications
Education: MS+ with concentration in quantitative discipline - Stats, Math, Comp Sci, Engineering, Econ, Quantitative Social Science or similar discipline
Required Knowledge, Skills and Abilities
Ability to apply knowledge of multidisciplinary business principles and practices to achieve successful outcomes in cross-functional projects and activities
Advanced competency and expertise in at least one Modeling & Machine Learning Techniques (regression, tree models, survival analysis, cluster analysis, forecasting, anomaly detection, association rules, etc.) with exposure and business-applicable experience in additional techniques
Advanced competency with Python
Advanced competency and expertise in at least one Data ETL (Teradata, Oracle, SQL, Pig) with exposure and business-applicable experience in additional languages
Advanced competency and expertise in at least one Analytic Languages (R, SAS, SPSS, Stata) with exposure and business-applicable experience in additional languages
Big data processing techniques, preferred
Retail, customer loyalty, and eCommerce experience, preferred
Starbucks is an equal opportunity employer of all qualified individuals, including minorities, women, veterans & individuals with disabilities. Starbucks will consider for employment qualified applicants with criminal histories in a manner consistent with all federal, state, and local ordinances."
"4","4","Tue, 21 Mar 2017 20:39:57 GMT","Data Analyst/Reporting Writer","Republic Services","Scottsdale","AZ","The Data Analyst/Reporting Writer works within the Business Intelligence (BI) group and supports development activities in alignment with a corporate data strategy. The Data Analyst/Reporting Writer serves as a key technical resource in the development and delivery of data-oriented solutions to support critical business needs. This individual must be highly technical, with a good understanding of BI and data management principles, and must also be able to work with business and IT personnel to design, document and deploy the best technical solution within business timelines.
**Principal Responsibilities: **
Develops data delivery solutions using various BI solutions.
Works closely with, and takes direction from, Data Architects and ETL Engineers to build and modify data delivery solutions.
Works with peers to advance data management principles across the enterprise.
Troubleshoots issues with minimal guidance, identifies data related problems and provides scalable solutions.
Participates in the definition of application scope and objectives through research and fact finding.
Maintains productive working relationships with project sponsors and key systems users.
Supports work estimation process in support of development activities.
Performs other job-related duties as assigned or apparent.

The statements used herein are intended to describe the general nature and level of the work being performed by an employee in this position, and are not intended to be construed as an exhaustive list of responsibilities, duties and skills required by an incumbent so classified. Furthermore, they do not establish a contract for employment and are subject to change at the discretion of the Company.
**Preferred Qualifications: **
Experience with large enterprise-grade ( >10TB) data warehouse solutions.
Experience working with Metadata, MDM, and Data Quality tool suites.
Experience with BI tools (Cognos, Hyperion, Microsoft SSRS, etc.).
Experience with Oracle Essbase.
Experience with data visualization tools (Tableau, Qlik, Birst, Spotfire).
Experience with large database implementations (Oracle, SQL server, IBM, etc.)
Experience working with Cloud-based database solutions.
Experience with Big Data solutions including Hadoop.
Experience working with dimensional modeling and slowly changing dimensions.
Experience with SQL scripting languages (SSIS, PL/SQL, etc.).
Experience with predictive analytics and forecasting.
**Qualifications: **
Bachelor's degree in Business, Statistics, IT or related field or minimum of 5 years of experience in a business or technical analysis role.
Minimum of 3 years of IT experience.
Experience demonstrating data management principles.
Experience working with SQL-based query tools.
Experience working with BI reporting software.
Experience working with data visualization software.
Experience working with relational database technology.
Experience working with large database environments ( >5TB).
**Other Knowledge, Skills & Abilities: **
Strong understanding of traditional BI tools such as Hyperion, Cognos, MicroStrategy, Business Objects, etc.
Good working knowledge of next generation, data visualization solutions (Birst, Spotfire, Tableau, Qlik, etc.).
Understanding of core data management principles, including Data Stewardship, Data Quality, Metadata Management, Master Data Management and Data Lineage.
Eager to learn about, and become subject matter expert in, data warehousing, data management, data quality and ETL architecture.
Willing to learn alternate data-oriented technologies and leverage these tools across multiple database technologies.
Strong analytical skills and focus on bottom-line results.
Effective interpersonal communication across various levels of the organization.
Ability to interpret, evaluate and communicate detailed information in a manner that is appropriate to the audience.
Ability to conduct root cause analyses and performance tuning for complex business processes and functionality.
Ability to interact with IT and business users across the organization to resolve issues and provide solutions in a timely manner.
**EEO Statement: **
Republic Services is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, protected veteran status, genetic information, or any other characteristic protected by applicable law."
"5","5","Mon, 20 Mar 2017 17:13:40 GMT","Data Reporting Analyst","Clark Associates","Lancaster","PA","Clark Associates, Inc specializes in providing foodservice equipment and supplies to restaurants, hospitality, and healthcare businesses around the world. Products are sold through three channels of distribution including TheWebstaurantstore.com (Ecommerce Model), The Restaurant Stores (Cash and Carry Model), and Clark Food Service Equipment (Traditional Distribution Model). The procurement department is responsible for managing the 180,000 items available to our three distribution channels.
We are currently seeking a Data Reporting Analyst to join our growing Procurement Department, based in Lancaster, PA. The Data Analyst will provide insight and decision support to management. This position reports directly to upper management. The successful candidate must have an interest in working with a large amount of data, facts and figures and seeking an opportunity to add value to the company by analyzing a variety of data sources that lead to strategic recommendations. This position will work primarily with data involving pricing, inventory and logistics.
Job Tasks and Responsibilities:
Lead and conduct analytics projects, providing detailed analysis, both written and verbal.

Ensure data is carefully gathered
Interpret data, determine trends and come to new conclusions based on the findings
Conduct research and integrate findings into databases and reporting
Present findings and translate the data
Conduct all activities, including producing final presentations, with a high attention to detail

Key Requirements/Skills/Experience

Bachelorâs degree in Computer Science, Analytics, Statistics, Math, or other quantitative field
Expert or Advanced level proficiency with Microsoft Excel.
Knowledge on building databases in Microsoft Access
Self-starter with ability to manage projects independently
Ability to handle fast-paced professional office environment

Strong analytical and problem-solving skills

Highly organized and strong attention to detail

No industry knowledge needed we will train you. Compensation includes competitive wages, a health care plan, 401K plan and paid time off. Other job perks include standing desks, on site gym, commercial kitchen in break room and monthly theme lunches and social events. Please include a cover letter with your application."
"6","6","Fri, 10 Mar 2017 19:57:34 GMT","Analytics & Insights Coordinator","Jacksonville Jaguars","Jacksonville","FL","Finance: Financial/Data Analyst

Analytics & Insights Coordinator - Jacksonville Jaguars (Jacksonville, FL)
Job Title : Analytics & Insights Coordinator
Department : Analytics
Reports To: Director of Analytics
Summary:
The Analytics & Insights Coordinator will work in the Analytics department, focusing on managing the design and development of internal reporting, dashboards, web apps, and surveys.
The Analytics team is responsible for analyzing, interpreting, presenting, and communicating data to enhance processes, decision-making, and outcomes for the Jacksonville Jaguars. This position is based in Jacksonville.
Duties and Responsibilities:
Define success metrics for internal tools and dashboards developed by the Analytics team

Establish reporting to monitor usage and engagement of tools and dashboards

Research user behavior of internal tools and recommend areas for change or further development

Design and conduct surveys to enhance customer intelligence, stadium product offerings, and internal product development

Perform ad-hoc data analyses

Build reports and dashboards to convey data and results of analyses
Job Qualifications:
Passion for creating visually-pleasing work products

Strong communication skills to allow for gathering information from multiple departments and defining project objectives

Strong attention to detail

Ability to assess problems and devise effective and creative solutions

Ability and motivation to drive a project from start to completion

Experience using SQL

Experience with R or Python

Experience using Tableau a plus

Experience with web development (JavaScript, HTML, CSS, Django, Ruby, PHP, etc.) a plus

OUR Values (PRIDE) â we foster a culture that promotes, and hire people that exhibit, the following values:
Passion : We are passionate about providing a unique and memorable experience for our fans, sponsors and teammates. This passion drives our desire to work hard and to provide excellent service.
Respect : We hold people accountable, expect fair play, and foster a culture of trustworthiness. We are responsive to others. We uphold the highest standards of ethics and act with integrity.
Innovation : We strive to be disruptive to traditional modes of thought, to question assumptions and to think critically and strategically. We like to challenge ourselves and to be challenged. We are known for driving profitability and creating memorable experiences in new and unexpected ways. We use cutting-edge technology and analytics to achieve our goals.
Dedication : We are dedicated to making our team and our community proud and strong. We support, trust and encourage one another. We strike a balance between collaboration and accountability. We develop business and charitable relations to help elevate Jacksonville.
Empowerment : We equip our people with opportunities and resources for growth. We want each person to become a leader in that personâs area of expertise and to be proactive at implementing solutions.
Working for the Jaguars : Ever wondered what working for the Jaguars would be like or what benefits you might expect as a member of the team? Of course, we have plans that offer customary benefits (like medical plans for eligible employees), but we also offer way more than the basics. We take P.R.I.D.E. in our employees and want you to be your best. We offer:

Learning Opportunities

Through Jaguars University courses, you will receive the tools to succeed in business, such as training in budgeting, leadership and writing skills.

Eligible employees have the opportunity for tuition reimbursement
A Wellness Program , which includes:
Onsite gym

Onsite fitness classes

Discounted health club membership

Free lunch with input from a registered dietician

4 employer-sponsored sports leagues

Weekly wellness tips

Fitness challenges

Fit Friendly Worksite Platinum Achievement (AHA)

We recognize and reward you

We value your hard work and dedication and recognize outstanding work and actions through our Teammate, Manager and Director of the Quarter Programs.

Our Pride In Innovation Award recognizes the collaborative efforts of departments

We hold teambuilding events to help you get to know your co-workers

We value diversity and communication

Our Jaguars Women in Business program is designed to give women the tools they need to lead and to succeed in business

Through our mentoring program, you have the opportunity to learn from one another

We care about you and your family

Employees have access to an Employee Assistance Program, the NFL Lifeline and our âsafe ridesâ program

We offer scholarship opportunities for your children

Our employees receive discounts from many of our vendors

We offer discounted tickets to our employees, and, if available, will provide tickets to our home games!
Applications are being accepted online only. Please do not call to apply for this position. Please provide complete information. An incomplete application may affect your consideration for this position. The Jacksonville Jaguars are committed to a policy of equal employment opportunity and will not discriminate against an applicant on the basis of race, color, religion, creed, national origin, ancestry, sex, age, disability, veteran status, genetic information or any other legally recognized protected basis under federal, state or local laws, rules, or legal requirements.
By submitting this application, you understand that you may be subject to a pre-employment drug test. You certify that the information in your application is true, correct and complete. You authorize the Jaguars and its representatives to contact your prior employers and other references and all others for purposes of certification of the information you have provided. You understand your application is subject to, among other things, your eligibility to work in the United States."
"7","7","Thu, 16 Mar 2017 17:40:12 GMT","Statistical Analyst - Data Analytics and Reporting","Mutual of Omaha","Omaha","NE","-

029264

For more than a century, Mutual of Omaha has been committed to helping our customers through life's transitions by providing an array of insurance, financial and banking products.

Known for its strength and stability, our company is made up of quality, engaged individuals from all backgrounds and walks of life.

We have made it a priority to

create a culture where everyone feels included, valued and empowered. We encourage new ideas, try new things, and always learn from experience as we seek the optimum solutions. We relentlessly pursue ways to simplify and streamline our operations. Through innovation, design and experimentation we continually find ways to grow the business and enhance the customer experience. Release your potential and begin a rewarding career with us.
Essential Job Functions:
Develops comprehensive understanding and knowledge base of those business processes related to the marketing database, audience selection, and creative testing and how they impact models used by DTC.

Ensures standards and consistency of model development processes are met, including compliance with Model Risk Management standards.

Applies statistical, mathematical, and business skills to proactively identify opportune areas for adding business value.

Monitors, evaluates, and communicates performance of models developed internally.

Provides expertise on the impact of data changes made by vendors on model performance including whether recalibration or re-building of existing models is required.

Acts as the business steward over the lead attribution database; including, providing ongoing data quality improvements.

Stays connected with progress of projects that impact required attribution keys within the lead attribution database. Demonstrates leadership behaviors with the Company's standards. Develops and maintains a fair and equitable work environment.

Excellence customer service and presentation skills

This job posting is reflective of the Database Marketing Program Manager essential functions, qualifications, and physical requirements. The Senior Database Marketing Program Manager level has variable essential functions, qualifications and physical requirements. Competency and skill set will determine level of placement within the posted job family.
Minimum Qualifications:
Bachelorâs degree in Mathematics, Statistics, Economics or Computer Science

Fluency in relational databases and excellent knowledge of SQL and/or advanced skills using statistical software â SAS

Excellent knowledge of Excel and Tableau

Ability to self-motivate, work well within a team environment, and be results driven

Understanding of database marketing principles

Solid financial and analytical discipline

Ability to work independently and as part of a team

Ability to think strategically, makes sound business decisions, and has good problem solving skills

Ability to manage multiple projects, deadlines, and priorities

Strong verbal and written communication skills
Preferred Qualifications:
Bachelor's degree in Mathematics or Statistics

Expert knowledge of SQL language

Expert knowledge of SAS code

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access our career center as a result of your disability. To request an accommodation, contact a Human Resources Representative at 1-800-780-0304. We are available Monday through Friday 7 am to 4 pm CST.

For all other inquiries, contact our HR Helpline at 1-800-365-1405, option 4.

Mutual of Omaha and its affiliates are an Equal Opportunity /Affirmative Action Employer, Minorities/Female/Disabled/Veteran
To All Recruitment Agencies: We do not accept unsolicited agency resumes and we are not responsible for any fees related to unsolicited resumes.

Job

Information Technology

Primary Location

US-NE-Omaha

Schedule

Full-time

Shift

Day Job

Flex Time Available?

Yes"
"8","8","Fri, 13 Jan 2017 01:50:57 GMT","DATA ANALYST, PERFORMANCE, ANALYSIS & REPORTING","UMass Memorial Health Care","Worcester","MA","Requisition #: 171621
Title: Data Analyst, Performance, Analysis and Reporting
Department: Performance Reporting
Posting Date: January 12, 2017
Status: Exempt
Hours: 40 hrs. M-F 8:30-5:00
Location: UMass Memorial Medical Center â 1 Mercantile Street, Worcester, MA
UMass Memorial Medical Center is the region's trusted academic medical center, and part of the UMass Memorial Health Care system. We are committed to improving the health of people in Central Massachusetts through excellence in care, comprehensive health services, teaching and research.
Position Summary:

Under the direction of the Manager of Reporting and Analysis, the Data Analyst, Performance Analysis and Reporting will develop and deploy data analyses, reports and quality improvement projects on behalf of the Managed Care Network and the Accountable Care Organization.
Position Qualifications:

Bachelors level degree and minimum of 2 years experience in complex data analyses. Experience with Microsoft Access and Excel required. Experience with SPSS preferred. Demonstrated ability to plan, organize, and execute complex projects. Experience in health care quality improvement initiatives. Ability to collaborate with IT professionals in development of decision support tools. Position requires a high level of attention to detail, excellent analytic and organizational skills. Incumbent will have frequent written and verbal communication with clinical, educational, and managed care audiences, and work closely with internal and external information technology professionals.
Major Responsibilities:

Conducts or assists in routine or ad-hoc reporting and data analyses as assigned for the delivery of accurate, timely and actionable information to physicians and administrators to support the improvement of care delivery within the UMass Memorial system.

Ensures accuracy of reports and analyses by testing data reliability and validity.

Produces thorough documentation, consistent with department standards, of all reports and analyses.

Works closely with internal IT staff and external IT vendors in development of decision support/reminder and performance reporting system.

Maintains timelines and ensures success of improvement project deliverables as assigned by Medical Management.

Effectively communicates with key stakeholder communities using multiple channels: verbal, written, and electronic.

Ensures teamwork, communication and mission focus in the management of assigned areas.

Participates in performance improvement initiatives and demonstrates the use of quality improvement in daily operations.

Ensures compliance with the ACO and Managed Care Network policies and regulatory agencies such as Joint Commission, DPH, etc. Develops and maintains procedures necessary to meet regulatory requirements.

Ensures that department complies with hospital established policies, quality assurance programs, safety, and infection control policies and procedures.

Develops and maintains established departmental policies, procedures, and objectives.

Ensures compliance to all health and safety regulations and requirements.

Respects diverse views and approaches, and contributes in maintaining an environment of professionalism, tolerance, civility and acceptance toward all employees, patients and visitors.

Performs similar or related duties as required or directed.
All responsibilities are essential job functions."
"9","9","Thu, 12 Jan 2017 07:00:29 GMT","Data and Reporting Analyst-Magellan MRx","Magellan Health","Blue Ash","OH","SUMMARY
Responsible for the solicitation, tracking, validation and analysis of supplemental rebate offers. The position maintains responsibility for the facilitation of P&T cycles including, managing timelines, building complex cost models for state Medicaid clients and P&T committee members, and reviewing offers with Account Managers. Additionally responsible for running quarterly PDL reports and Adhoc requests for internal and external customers using a variety of data gathering tools such as Hyperion or Cognos.
ESSENTIAL FUNCTIONS:
-Work with designated department to assess, define, and develop report deliverables to meet internal and customer requirements. Design appropriate data repository and reporting tools that will be used to organize, analyze, and report data. Query data bases to extract information needed to develop reports. Compile data and other information from multiple data sources.
-Support the development of standard reports.
-Interpret, analyze and provide recommendations regarding data accuracy and data collection needs and processes. Work with business unit(s) to identify opportunities to enhance existing and to develop new data information processes and tools. Continuously assess and improve data collection and reporting processes.
-Coordinate or independently complete special projects. Assist staff members with more complex and detailed projects including root cause analyses, trended reporting and analyses which support continuous quality improvement leading to actionable information.
-Participate and support staff training related to data collection and reporting.
-Other duties as assigned.
General Job Information
Title Data and Reporting Analyst-Magellan MRx - Blue Ash, OH
Job Family Metrics_Analysis_GS
Country United States of America
FLSA Status United States of America (Exempt)
Recruiting Start Date 1/3/2017
Date Requisition Created 1/3/2017
Minimum Qualifications
Education Associates, BachelorsAssociates (Required), Bachelors
License and Certifications
Other Job Requirements
Responsibilities Requires an Associates Degree in information systems, business administration, or analytics. Requires strong expertise in MS Excel and relational database such as MS Access and other database management (MS SQL) and reporting tools. Ability to use reporting software such as Actuate, Cognos, Crystal reports, SAS, or other. Ability to query the company's data warehouse and/or department systems in response to data requests.
Competencies
Language(s)
Magellan Health Services is proud to be an Equal Opportunity Employer and a Tobacco-free workplace. EOE/M/F/Vet/Disabled"
"10","10","Wed, 15 Mar 2017 01:06:49 GMT","ACO Reporting & Data Analyst","University Hospitals","Shaker Heights","OH","University Hospitals (UH) is a community-based healthcare system which serves patients at more than 150 locations throughout Northern Ohio, including seven wholly owned and four affiliated hospitals.

Committed to advanced care and advanced caring, UH encompasses the regions largest network of primary care physicians, outpatient centers and hospitals. The network also offers specialty care physicians to treat almost every disease and condition, skilled nursing, elder health, rehabilitation and home care services, and occupational health and wellness. University Hospitals is the second largest private sector employer in Northeast Ohio and is within the top five largest private sector employers in the state of Ohio.

This position is responsible for overseeing, organizing, and optimizing population data used to help drive strategic decisions and work activities for University Hospitals Accountable Care Organizations
Activities include:Organize population reports from various data sources into standard work packages used by service line leadership to determine most effective work activities to impact population health.
With other UHACO Reporting & Data Analysts, serve as service line lead and administrator for data analytics tool (AthenaClarity).
Facilitate regular (monthly / quarterly / yearly) review of population reports for service line senior leadership and, at times, UH Executives.
Effectively work with third party administers, data analytics vendor, and other external parties to gather, assess, and develop data into reporting packages and dashboards.
Perform independent analysis of data to identify trends and make recommendations to impact population.
Effectively collaborate with UH Quality Center, UH IT&S, and other UH service lines to develop consolidated data analytics deliverables, solutions, and reports.
Organize and facilitate regular data exchanges with Centers for Medicare and Medicaid (CMS) and third party insurers.
Work with ACO leaders and IT&S leaders / team members to help develop long-term UH data solutions.
Help analyze, organize, and prepare physicians scorecard data used to distribute incentive payments.
Assist UH ACO Network Administrator with reviewing and organizing data for physician network(s).
Independently manage projects and assignments which advance service lines strategic goals.
Position Requirements:3 â 7 years experience analyzing and managing data for a service line
Understanding of health care industry trends and strategies including population health, Accountable Care Organizations and Patient Centered Medical Homes.
Experience working multiple health care data sources that include Electronic Medical Record application(s), registration and scheduling systems, and medical claims systems.
Excellent verbal and written communication skills.
Proven time management and organizational skills.
Demonstrated excellence in customer service.
Proven skills in negotiation and collaboration.
Demonstrated ability to apply concepts, utilize sound judgment and work independently.
Advanced computer skills with strong skills in utilizing Excel, Word, & Power Point to analyze and present data. Preferred skills in XML, SQL queries and/or other database language programming.
Flexible and creative work approach.
Education Requirements:Bachelorâs degree required in business, healthcare, statistics, mathematics, clinical informatics, information technology. Masters degree preferred.
License Requirements:Recognized and credible industry certification in data analytics, statistical modeling, and/or database programming preferred.

Equal Opportunity Employer â Minorities/Females/Protected Veterans/Disabled"
